study,yi,vi,mean_age,female_pct,baseline_risk,followup_months,risk_of_bias,bias_score
A,-0.18,0.012,61,32,0.18,6,low,0.0
B,0.15,0.016,67,41,0.24,12,some_concerns,0.5
C,-0.30,0.010,58,27,0.12,9,low,0.0
D,-0.05,0.011,64,36,0.19,12,low,0.0
E,-0.21,0.013,70,44,0.26,18,high,1.0
F,0.01,0.016,55,30,0.11,6,some_concerns,0.5
G,-0.14,0.012,62,34,0.17,12,low,0.0
H,0.18,0.014,69,48,0.29,15,high,1.0
I,-0.25,0.011,66,39,0.23,12,low,0.0
J,-0.03,0.013,60,33,0.16,9,low,0.0
K,-0.17,0.010,63,37,0.22,10,low,0.0
L,-0.24,0.015,71,52,0.30,18,some_concerns,0.5
